,0
0,223.246
1,194.253
2,217.276
3,189.251
4,265.248
5,215.255
6,256.256
7,290.246
8,291.239
9,233.262
10,246.262
11,195.259
12,330.242
13,236.269
14,229.275
15,229.271
16,169.266
17,217.303
18,281.244
19,244.232
20,340.260
21,276.255
22,300.223
23,311.219
24,275.258
25,298.227
26,213.279
27,238.242
28,030.180
29,327.220
30,317.248
31,194.265
32,318.246
33,247.247
34,221.234
35,002.208
36,220.266
37,369.181
38,316.235
39,680.207
40,278.246
41,272.258
42,277.261
43,242.235
44,264.271
45,269.265
46,296.229
47,234.248
48,207.233
49,256.265
50,239.236
51,211.259
52,205.253
53,197.263
54,238.237
55,293.246
56,307.256
57,329.226
58,293.262
59,227.232
60,247.262
61,233.280
62,298.246
63,275.240
64,290.238
65,205.280
66,244.240
67,258.214
68,275.252
69,251.251
70,233.266
71,254.249
72,168.273
73,058.209
74,300.253
75,244.214
76,239.247
77,210.240
78,156.274
79,259.242
80,228.280
81,249.288
82,366.182
83,310.218
84,216.257
85,240.267
86,316.246
87,217.271
88,257.247
89,340.221
90,220.233
91,235.240
92,220.243
93,252.230
94,204.236
95,293.253
96,151.282
97,319.250
98,211.256
99,317.224
100,448.216
101,350.223
102,249.266
103,234.257
104,277.265
105,332.221
106,206.251
107,277.243
108,174.273
109,248.280
110,292.249
111,298.252
112,227.266
113,706.185
114,228.265
115,158.278
116,034.183
117,348.267
118,157.275
119,304.243
120,230.259
121,254.254
122,270.235
123,027.188
124,266.252
125,324.237
126,254.269
127,359.221
128,316.221
129,279.255
130,331.243
131,317.243
132,317.245
133,268.262
134,344.221
135,177.266
136,202.242
137,316.248
138,212.274
139,274.242
140,273.240
141,341.238
142,305.218
143,226.255
144,213.258
145,209.276
146,218.242
147,267.240
148,270.251
149,358.220
150,235.214
151,212.269
152,229.275
153,281.229
154,258.255
155,219.264
156,229.232
157,235.261
158,258.284
159,202.245
160,229.248
161,324.241
162,250.259
163,233.295
164,209.252
165,226.259
166,307.255
167,031.181
168,252.254
169,286.250
170,231.280
171,264.252
172,217.280
173,167.262
174,240.257
175,323.241
176,250.249
177,314.235
178,303.238
179,297.235
180,176.265
181,248.233
182,251.289
183,193.251
184,342.225
185,332.224
186,250.263
187,307.253
188,272.258
189,256.240
190,241.275
191,177.267
192,325.235
193,147.278
194,234.214
195,170.274
196,274.256
197,303.255
198,188.272
199,204.232
200,338.228
201,179.262
202,238.220
203,230.277
204,359.184
205,254.259
206,164.271
207,204.232
208,260.273
209,266.282
210,167.274
211,286.250
212,221.273
213,248.240
214,283.234
215,225.247
216,332.219
217,287.257
218,217.266
219,231.267
220,269.282
221,240.248
222,246.257
223,204.243
224,706.180
225,217.257
226,298.229
227,175.275
228,197.275
229,269.248
230,164.269
231,237.232
232,295.226
233,201.231
234,293.230
235,176.265
236,186.263
237,184.255
238,255.232
239,194.257
240,324.232
241,136.282
242,341.227
243,177.269
244,203.239
245,258.286
246,220.263
247,264.283
248,171.266
249,283.251
250,253.241
251,178.263
252,239.223
253,318.220
254,246.247
255,241.246
256,184.261
257,296.231
258,248.247
259,214.251
260,231.264
261,162.268
262,216.239
263,305.232
264,191.248
265,300.246
266,171.276
267,320.220
268,229.248
269,293.248
270,230.232
271,285.247
272,201.256
273,269.242
274,214.240
275,191.276
276,186.252
277,306.233
278,225.269
279,287.255
280,246.229
281,193.249
282,243.235
283,297.242
284,310.242
285,245.253
286,184.259
287,204.283
288,287.246
289,282.250
290,183.260
291,195.278
292,259.286
293,194.250
294,270.252
295,329.221
296,233.243
297,225.256
298,244.249
299,647.216
300,273.258
301,207.245
302,265.252
303,299.245
304,262.267
305,314.225
306,268.256
307,326.243
308,281.244
309,172.274
310,201.240
311,220.254
312,261.257
313,245.262
314,277.254
315,251.216
316,211.246
317,260.257
318,263.299
319,228.230
320,211.245
321,199.243
322,281.239
323,335.237
324,265.244
325,201.252
326,224.264
327,289.240
328,311.242
329,256.234
330,213.237
331,354.244
332,245.290
333,243.268
334,292.255
335,321.245
336,310.230
337,216.272
338,176.269
339,320.234
340,375.180
341,267.238
342,296.253
343,236.245
344,271.252
345,178.276
346,215.234
347,250.266
348,172.275
349,239.252
350,155.276
351,209.241
352,207.248
353,312.238
354,303.247
355,193.248
356,238.239
357,300.257
358,443.244
359,252.260
360,155.278
361,219.260
362,346.268
363,334.231
364,235.224
365,327.233
366,194.279
367,225.242
368,216.258
369,168.264
370,236.256
371,326.245
372,259.205
373,379.259
374,257.242
375,258.233
376,237.214
377,270.268
378,202.234
379,193.259
380,290.233
381,239.256
382,161.267
383,228.260
384,200.244
385,250.243
386,205.269
387,357.226
388,263.257
389,286.281
390,211.263
391,222.245
392,285.264
393,254.277
394,660.182
395,221.275
396,234.256
397,144.282
398,293.261
399,163.273
400,251.217
401,242.219
402,220.239
403,311.238
404,231.225
405,269.237
406,351.225
407,340.232
408,167.264
409,303.245
410,315.247
411,225.272
412,287.234
413,294.228
414,254.246
415,243.257
416,209.280
417,315.242
418,256.239
419,283.246
420,279.241
421,330.223
422,229.255
423,199.262
424,161.273
425,232.264
426,306.233
427,174.266
428,013.200
429,228.294
430,245.250
431,299.238
432,208.283
433,403.244
434,268.248
435,226.265
436,271.285
437,253.252
438,240.270
439,369.246
440,204.253
441,285.260
442,314.226
443,225.249
444,238.248
445,219.266
446,288.243
447,698.191
448,237.291
449,261.258
450,225.266
451,296.239
452,181.258
453,265.254
454,221.271
455,242.246
456,195.279
457,269.258
458,242.265
459,216.235
460,325.245
461,205.262
462,218.277
463,224.238
464,241.244
465,293.258
466,310.245
467,221.268
468,249.238
469,361.224
470,241.233
471,314.237
472,270.282
473,188.243
474,680.182
475,208.269
476,178.266
477,328.243
478,250.250
479,233.250
480,206.241
481,250.220
482,204.256
483,277.250
484,234.293
485,228.267
486,251.286
487,163.267
488,267.256
489,343.224
490,179.277
491,192.272
492,205.249
493,326.276
494,207.259
495,313.219
496,264.234
497,229.233
498,698.184
499,189.274
500,282.229
501,276.241
502,243.246
503,249.257
504,262.252
505,260.261
506,253.219
507,403.257
508,308.249
509,229.263
510,230.239
511,265.247
512,199.261
513,239.244
514,195.268
515,278.253
516,225.239
517,677.184
518,207.254
